,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,0,ZA,1578787347,94,-33.59,26.89,293.71,4.92
1,Albany,90,US,1578787335,82,42.6,-73.97,291.15,2.1
2,Ushuaia,75,AR,1578787202,76,-54.8,-68.3,284.15,5.7
3,Chokurdakh,19,RU,1578787353,99,70.63,147.92,238.83,1.35
4,Sao Joao da Barra,100,BR,1578787524,80,-21.64,-41.05,299.26,5.6
5,Mataura,85,NZ,1578787524,66,-46.19,168.86,289.82,5.36
6,Luba,20,GQ,1578787524,94,3.46,8.55,298.15,1.5
7,Quatre Cocos,40,MU,1578787525,88,-20.21,57.76,299.15,2.1
8,Yellowknife,20,CA,1578787525,65,62.46,-114.35,234.26,2.1
9,Tartous,75,SY,1578787525,76,34.89,35.89,282.59,2.1
10,Jamestown,90,US,1578787766,77,42.1,-79.24,290.37,4.1
11,Longyearbyen,20,SJ,1578787525,49,78.22,15.64,257.15,7.7
12,Soria,0,ES,1578787526,78,41.67,-2.67,271.92,2.71
13,Thunder Bay,5,CA,1578787333,54,48.4,-89.32,257.15,2.1
14,Provideniya,97,RU,1578787526,95,64.38,-173.3,260.11,4.52
15,Barrow,40,US,1578787526,75,71.29,-156.79,246.15,9.3
16,Rio Branco,20,BR,1578787767,70,-9.97,-67.81,302.15,2.1
17,Mafinga,100,TZ,1578787527,97,-7.25,35.07,292.39,2.46
18,Faanui,82,PF,1578787527,79,-16.48,-151.75,300.85,6.9
19,Ponta do Sol,75,PT,1578787527,63,32.67,-17.1,289.15,6.2
20,Rikitea,20,PF,1578787334,78,-23.12,-134.97,297.37,7.82
21,Atar,100,MR,1578787527,18,20.52,-13.05,286.04,3.41
22,Bluff,76,NZ,1578787264,66,-46.6,168.33,289.82,5.36
23,Cape Town,0,ZA,1578787627,88,-33.93,18.42,293.71,5.1
24,Nisia Floresta,40,BR,1578787528,74,-6.09,-35.21,300.15,4.1
25,Mahon,79,ES,1578787528,87,39.89,4.27,282.15,2.6
26,Kidal,58,ML,1578787351,16,18.44,1.41,289.93,6.23
27,Puerto Ayora,40,EC,1578787367,62,-0.74,-90.35,302.15,6.2
28,Punta Arenas,75,CL,1578787200,71,-53.15,-70.92,286.15,9.8
29,Bethel,40,US,1578787529,76,41.37,-73.41,291.15,3.6
30,Saraland,1,US,1578787529,82,30.82,-88.07,290.37,4.6
31,Hong Kong,20,HK,1578787345,62,22.29,114.16,288.71,4.6
32,Broken Hill,0,AU,1578787348,37,-31.95,141.43,292.15,8.2
33,Hilo,75,US,1578787203,58,19.73,-155.09,303.15,6.7
34,Tuatapere,19,NZ,1578787530,66,-46.13,167.68,289.82,5.36
35,Torbay,90,CA,1578787520,98,47.67,-52.73,273.71,6.2
36,Labuhan,99,ID,1578787530,86,-6.88,112.21,297.56,2.08
37,Fortuna,20,US,1578787530,70,40.6,-124.16,284.26,4.6
38,Atuona,0,PF,1578787341,75,-9.8,-139.03,300.39,6.81
39,Taoudenni,0,ML,1578787531,29,22.68,-3.98,285.14,3.25
40,Pangnirtung,100,CA,1578787531,99,66.15,-65.71,235.36,0.65
41,Korla,21,CN,1578787531,72,41.76,86.15,262.92,2.49
42,Meadow Lake,1,US,1578787531,20,34.8,-106.54,280.15,8.2
43,Shadrinsk,50,RU,1578787532,92,56.09,63.63,258.83,4.01
44,Lavrentiya,100,RU,1578787343,95,65.58,-171.0,263.29,4.92
45,Busselton,0,AU,1578787335,24,-33.65,115.33,300.93,3.6
46,Alto Araguaia,99,BR,1578787532,93,-17.31,-53.22,294.7,3.35
47,Narsaq,49,GL,1578787532,55,60.92,-46.05,252.64,4.2
48,Eyl,0,SO,1578787533,79,7.98,49.82,298.65,5.86
49,Hobart,40,AU,1578787229,39,-42.88,147.33,293.71,3.6
50,Clyde River,75,CA,1578787533,75,70.47,-68.59,248.15,6.7
51,Bouloupari,92,NC,1578787533,55,-21.87,166.05,303.15,3.1
52,Lompoc,1,US,1578787270,54,34.64,-120.46,290.93,6.2
53,Valsad,0,IN,1578787534,64,20.63,72.93,294.15,2.1
54,Cherskiy,100,RU,1578787534,98,68.75,161.3,248.96,1.1
55,Bairiki Village,75,KI,1578787534,70,1.33,172.98,304.15,1.0
56,Alofi,94,NU,1578787535,70,-19.06,-169.92,302.15,7.7
57,Vardo,100,NO,1578787369,88,70.37,31.11,271.4,3.86
58,Jawa,97,JO,1578787535,93,31.85,35.94,279.15,3.1
59,Norwich,100,GB,1578787535,81,52.63,1.3,283.15,9.3
60,Luganville,90,VU,1578787536,79,-15.53,167.17,302.15,1.5
61,Tiarei,90,PF,1578787537,62,-17.53,-149.33,303.15,4.6
62,Cabo San Lucas,20,MX,1578787479,64,22.89,-109.91,295.93,2.6
63,Esperance,0,AU,1578787537,60,-33.87,121.9,293.15,9.8
64,Cockburn Town,45,TC,1578787339,75,21.46,-71.14,299.29,14.15
65,Dunedin,46,NZ,1578787538,51,-45.87,170.5,293.71,2.68
66,Hermanus,0,ZA,1578787349,96,-34.42,19.23,292.04,3.25
67,New Norfolk,40,AU,1578787370,39,-42.78,147.06,293.71,3.6
68,Saint-Philippe,75,RE,1578787343,88,-21.36,55.77,298.15,4.6
69,Carnarvon,68,AU,1578787364,51,-24.87,113.63,303.15,4.6
70,Kavieng,100,PG,1578787539,77,-2.57,150.8,301.93,5.32
71,Panama,20,PA,1578787539,70,8.99,-79.52,303.15,4.1
72,Vaini,75,TO,1578787335,74,-21.2,-175.2,302.15,5.1
73,Bredasdorp,0,ZA,1578787354,96,-34.53,20.04,288.15,0.82
74,Northam,100,GB,1578787540,95,51.03,-4.22,284.26,6.26
75,Cayenne,40,GF,1578787540,83,4.93,-52.33,299.15,1.0
76,Cidreira,99,BR,1578787339,85,-30.18,-50.21,298.85,4.05
77,Quelimane,40,MZ,1578787540,94,-17.88,36.89,301.15,2.1
78,Aykhal,0,RU,1578787541,91,66.0,111.5,255.15,4.0
79,Mumford,86,GH,1578787541,87,5.26,-0.76,297.88,1.47
